CUST_ID,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,Purchase_Installment_Ratio,Credit_Utilization,Payment_Ratio,TOTAL_SPENDING,Risk_Score,VIP,Cluster
C10001,40.900749,95.4,0.0,1000.0,201.802084,139.509787,0.49996700204587313,0.04090074859099251,1.4465083337480593,95.4,0.0,0,1
C10002,3202.467416,0.0,6442.945483,7000.0,4103.032597,1072.340217,0.0,0.45749534448929235,3.826241423842436,6442.945483,0.9204207819708276,0,0
C10003,2495.148862,773.17,0.0,7500.0,622.066742,627.284787,0.0,0.33268651448975134,0.9916815216549876,773.17,0.0,0,1
C10004,1666.670542,1499.0,205.788017,7500.0,0.0,0.0,0.0,0.22222273863703637,0.0,1704.788017,0.02743840223008213,0,1
C10005,817.714335,16.0,0.0,1200.0,678.334763,244.791237,0.0,0.6814286068214283,2.7710744208104794,16.0,0.0,0,2
C10006,1809.828751,1333.28,0.0,1800.0,1400.05777,2407.246035,0.8749859377179654,1.005460411636331,0.5816014415759482,1333.28,0.0,0,2
C10007,627.260806,7091.01,0.0,13500.0,6354.314328,198.065894,0.9999900000999989,0.046463763372989804,32.08181822147441,7091.01,0.0,0,0
C10008,1823.652743,436.2,0.0,2300.0,679.065082,532.03399,0.9999900000999989,0.792892493509163,1.2763565524007863,436.2,0.0,0,2
C10009,1014.926473,861.49,0.0,7000.0,688.278568,311.963409,0.7499782506307318,0.1449894959357293,2.206279730509044,861.49,0.0,0,1
C10010,152.225975,1281.6,0.0,11000.0,1164.770591,100.302262,0.0,0.013838724987419341,11.612604258854674,1281.6,0.0,0,1
C10011,1293.124939,920.12,0.0,1200.0,1083.301007,2172.697765,0.9999900000999989,1.077604106853299,0.4985971907666725,920.12,0.0,0,2
C10012,630.794744,1492.18,0.0,2000.0,705.618627,155.549069,0.0,0.3153973704230132,4.536308614209152,1492.18,0.0,0,1
C10013,1516.92862,3217.99,0.0,3000.0,608.263689,490.207013,0.9166578334216657,0.505642871647857,1.240830221642908,3217.99,0.0,0,2
C10014,921.693369,2137.93,0.0,7500.0,1655.891435,251.137986,0.9999866668444422,0.1228924490361434,6.593551996807364,2137.93,0.0,0,1
C10015,2772.772734,0.0,346.81139,3000.0,805.647974,989.962866,0.0,0.9242575749191414,0.8138163496143062,346.81139,0.11560379628132068,0,2
C10016,6886.213231,1611.7,2301.491267,8000.0,1993.439277,2109.90649,0.9999800003999921,0.8607766527990292,0.9447998179066228,3913.191267,0.28768640801539197,1,0
C10017,2072.074354,0.0,2784.274703,3000.0,391.974562,376.579631,0.0,0.6906914490310284,1.0408809168735704,2784.274703,0.9280915645730281,0,2
C10018,41.089489,519.0,0.0,2500.0,254.590662,73.203221,0.7999793605118592,0.016435795534256815,3.4778609976928476,519.0,0.0,0,1
C10019,1989.072228,504.35,0.0,13000.0,1720.837373,744.613395,0.8749859377179654,0.1530055558823034,2.311048070642779,504.35,0.0,0,1
C10020,3577.970933,398.64,0.0,4000.0,1053.980464,12465.54938,0.9999900000999989,0.8944927310137681,0.08455146508388267,398.64,0.0,0,2
C10021,2016.684686,176.68,0.0,2000.0,223.0686,13557.29726,0.9999850002324965,1.0083423379582883,0.016453766230649307,176.68,0.0,0,2
C10022,6369.531318,6359.95,229.028245,11250.0,2077.959051,1659.775075,0.9999900000999989,0.5661805610967284,1.251952189052169,6588.978245,0.020358066204126165,1,0
C10023,132.34224,815.9,0.0,1800.0,2359.629958,86.329554,0.9999900000999989,0.07352346625820297,27.332814492147786,815.9,0.0,0,1
C10024,3800.151377,4248.35,7974.415626,9000.0,9479.043842,1425.426525,0.9166578334216657,0.42223904141973445,6.6499701031593315,12222.765626,0.8860461796821709,1,0
C10025,5368.571219,0.0,798.949863,6000.0,1422.726707,1657.002877,0.0,0.8947618683420636,0.8586145010138417,798.949863,0.13315831027806949,0,2
C10026,169.781679,399.6,0.0,3000.0,215.306142,163.005536,0.9999900000999989,0.056593892811353685,1.3208516353179787,399.6,0.0,0,1
C10027,1615.96724,102.0,244.840485,1700.0,890.178845,971.183209,0.0,0.9505689591143002,0.9165920781833443,346.840485,0.14402381385868346,0,2
C10028,125.694817,233.28,0.0,1000.0,207.773715,164.748819,0.9999900000999989,0.12569481574305186,1.2611544267789607,233.28,0.0,0,1
C10029,7152.864372,387.05,2236.145259,10500.0,1601.448347,1648.851345,0.6249908126424041,0.6812251776369285,0.9712508905934701,2623.195259,0.21296621494003218,0,0
C10030,22.06349,100.0,0.0,6900.0,160.767773,159.684442,0.9999760005951852,0.0031976072417425985,1.0067841357529286,100.0,0.0,0,1
C10031,12136.21996,3038.01,3183.583301,13000.0,4230.323491,3292.01503,0.9999900000999989,0.9335553808203421,1.2850255662865986,6221.593301000001,0.24489102296546847,1,0
C10032,1162.273324,1347.71,175.815755,6000.0,645.998299,256.848991,0.9999900000999989,0.19371222034381297,2.515089786158055,1523.5257550000001,0.029302625784495624,0,1
C10033,6732.823064,324.95,1189.533753,10500.0,1720.118876,2506.745366,0.0,0.6412212435797893,0.686196090144897,1514.483753,0.11328892874924863,0,2
C10034,125.660453,636.79,0.0,1200.0,423.449696,196.301885,0.0,0.10471704329402465,2.1571350393739195,636.79,0.0,0,1
C10035,3517.101616,547.28,0.0,11000.0,8735.607835,17862.55831,0.9999900000999989,0.319736510254785,0.4890457278574193,547.28,0.0,0,1
C10036,1656.350781,0.0,99.264367,1800.0,351.500199,634.569311,0.0,0.9201948732211397,0.5539193077378539,99.264367,0.05514687024918405,0,2
C10037,7427.076941,0.0,8873.375046,9000.0,1636.361601,1986.843608,0.0,0.8252307703052992,0.8235985893279297,8873.375046,0.9859305595711882,0,0
C10038,4047.480828,2380.55,1697.660901,5000.0,1617.894416,1541.141605,0.9999866668444422,0.8094961639810078,1.0498025621091285,4078.2109010000004,0.3395321795209357,1,2
C10039,6269.418144,204.0,2925.699862,9000.0,1237.111661,2049.408839,0.0,0.6966020152259979,0.6036431733002631,3129.699862,0.32507776208324696,0,2
C10040,1411.60223,963.24,6173.682877,7500.0,20071.07544,719.948985,0.0,0.18821363041571515,27.87846858512526,7136.922877,0.8231577158357898,0,0
C10041,663.44781,0.0,3133.063934,1800.0,3067.05783,283.333445,0.0,0.36858211461898827,10.824905339893592,3133.063934,1.740591064774494,0,2
C10043,784.889762,1526.59,2188.419607,3000.0,1262.309666,363.142736,0.5714185307786328,0.2616299197945669,3.476070167735087,3715.009607,0.7294731999017559,0,1
C10044,4104.710798,203.82,0.0,4500.0,868.275275,1801.264841,0.0,0.9121579530840935,0.4820364281898709,203.82,0.0,0,2
C10045,1360.742377,0.0,1481.587093,1500.0,378.294227,321.354137,0.0,0.9071615786189229,1.1771879421241762,1481.587093,0.9877247220818353,0,2
